Number,Title,Author,Gender,State,Created,Closed,Number of Comments,Sentiment,Sadness,Joy,Fear,Disgust,Anger
63610,"[flutter_tools] support code size tooling on iOS, linux, windows, macOS, and Android on Windows",Jonah,male,MERGED,2020-08-12 21:36:20,2020-08-25 17:00:25,42,0.3859,0.2575,0.3211,0.1259,0.0304,0.0461
78699,Roll Plugins from d7125cdb91c0 to 7b9ac6b0c20d (11 revisions),engine-flutter-autoroll,none,CLOSED,2021-03-20 16:30:37,2021-03-22 10:51:31,40,-0.7535,0.2825,0.2236,0.178,0.0107,0.0499
48155,"Add FormField validation states (touched, saved, etc) with ErrorStateMatcher",Yumin,male,CLOSED,2020-01-03 23:48:18,2020-04-14 23:30:51,40,0.3264,0.2887,0.3279,0.1209,0.0332,0.0574
99644,docs: Add more potential use case for Bottom Navigation Bar,Aman,male,MERGED,2022-03-06 20:41:06,2022-06-23 17:17:07,2,0.6534,0.2232,0.4616,0.0525,0.0165,0.052
78706,Roll Engine from e6db3a275eca to 2f47f64e4b14 (16 revisions),engine-flutter-autoroll,none,CLOSED,2021-03-20 22:45:06,2021-03-22 16:36:57,39,-0.715,0.3703,0.2143,0.0616,0.0178,0.0504
72831,Roll Plugins from 0f1c20dd25c0 to 622ba57c3960 (3 revisions),engine-flutter-autoroll,none,CLOSED,2020-12-22 22:30:54,2020-12-24 16:21:47,39,-0.6314,0.2933,0.1815,0.179,0.0165,0.0411
85954,Flutter web add support for NetworkImage headers,Jonas,male,MERGED,2021-07-06 09:20:50,2022-01-26 23:00:13,30,-0.4062,0.3642,0.2183,0.1332,0.0265,0.0579
83047,[Material 3] Add Navigation Bar component to flutter framework.,MH,male,MERGED,2021-05-20 19:44:51,2021-09-26 15:03:04,37,0.4081,0.2863,0.3736,0.0792,0.03,0.0508
68086,Introduce `MaxLengthEnforcement`,Alex,male,MERGED,2020-10-14 07:30:53,2020-12-09 23:32:00,36,-0.4851,0.3582,0.2232,0.1063,0.0291,0.0749
33213,Expose InheritedWidget subscription cancelation,Remi,male,CLOSED,2019-05-22 20:19:57,2019-09-18 21:38:09,38,-0.3024,0.3372,0.2968,0.104,0.0306,0.0652
31485,Prevent exception being thrown on hasScrolledBody,K.,male,MERGED,2019-04-23 13:09:04,2019-06-05 20:31:00,38,-0.4428,0.2871,0.2399,0.1276,0.0424,0.0883
89511,Reland engine display features,Andrei,male,MERGED,2021-09-05 18:28:23,2021-11-05 01:37:55,37,0.2479,0.2833,0.3652,0.0979,0.0395,0.0699
